"Afghanistan","{""emoji"":{""char"":""🇦🇫""}}"
"Albania","{""emoji"":{""char"":""🇦🇱""}}"
"Andorra","{""emoji"":{""char"":""🇦🇩""}}"
"Angola","{""emoji"":{""char"":""🇦🇴""}}"
"Argentina","{""emoji"":{""char"":""🇦🇷""}}"
"Australia","{""emoji"":{""char"":""🇦🇺""}}"
"Austria","{""emoji"":{""char"":""🇦🇹""}}"
"Azerbaijan","{""emoji"":{""char"":""🇦🇿""}}"
"United Arab Emirates","{""emoji"":{""char"":""🇦🇪""}}"
"Bahamas","{""emoji"":{""char"":""🇧🇸""}}"
"Bahrain","{""emoji"":{""char"":""🇧🇭""}}"
"Bangladesh","{""emoji"":{""char"":""🇧🇩""}}"
"Belarus","{""emoji"":{""char"":""🇧🇾""}}"
"Belgium","{""emoji"":{""char"":""🇧🇪""}}"
"Barbados","{""emoji"":{""char"":""🇧🇧""}}"
"Bolivia","{""emoji"":{""char"":""🇧🇴""}}"
"Brazil","{""emoji"":{""char"":""🇧🇷""}}"
"Botswana","{""emoji"":{""char"":""🇧🇼""}}"
"Cameroon","{""emoji"":{""char"":""🇨🇲""}}"
"Canada","{""emoji"":{""char"":""🇨🇦""}}"
"Central African Republic","{""emoji"":{""char"":""🇨🇫""}}"
"Chile","{""emoji"":{""char"":""🇨🇱""}}"
"China","{""emoji"":{""char"":""🇨🇳""}}"
"Congo","{""emoji"":{""char"":""🇨🇬""}}"
"Côte d'Ivoire","{""emoji"":{""char"":""🇨🇮""}}"
"Democratic Republic of the Congo","{""emoji"":{""char"":""🇨🇩""}}"
"Switzerland","{""emoji"":{""char"":""🇨🇭""}}"
"Colombia","{""emoji"":{""char"":""🇨🇴""}}"
"Antigua and Barbuda","{""emoji"":{""char"":""🇦🇬""}}"
"Costa Rica","{""emoji"":{""char"":""🇨🇷""}}"
"Czech Republic","{""emoji"":{""char"":""🇨🇿""}}"
"North Korea","{""emoji"":{""char"":""🇰🇵""}}"
"Palau","{""emoji"":{""char"":""🇵🇼""}}"
"Papua New Guinea","{""emoji"":{""char"":""🇵🇬""}}"
"Paraguay","{""emoji"":{""char"":""🇵🇾""}}"
"Poland","{""emoji"":{""char"":""🇵🇱""}}"
"Portugal","{""emoji"":{""char"":""🇵🇹""}}"
"Algeria","{""emoji"":{""char"":""🇩🇿""}}"
"Ecuador","{""emoji"":{""char"":""🇪🇨""}}"
"Egypt","{""emoji"":{""char"":""🇪🇬""}}"
"Eritrea","{""emoji"":{""char"":""🇪🇷""}}"
"Spain","{""emoji"":{""char"":""🇪🇸""}}"
"Gabon","{""emoji"":{""char"":""🇬🇦""}}"
"Georgia","{""emoji"":{""char"":""🇬🇪""}}"
"Guinea","{""emoji"":{""char"":""🇬🇳""}}"
"Micronesia","{""emoji"":{""char"":""🇫🇲""}}"
"United Kingdom","{""emoji"":{""char"":""🇬🇧""}}"
"Guinea-Bissau","{""emoji"":{""char"":""🇬🇼""}}"
"Croatia","{""emoji"":{""char"":""🇭🇷""}}"
"Guyana","{""emoji"":{""char"":""🇬🇾""}}"
"Honduras","{""emoji"":{""char"":""🇭🇳""}}"
"Iceland","{""emoji"":{""char"":""🇮🇸""}}"
"Hungary","{""emoji"":{""char"":""🇭🇺""}}"
"India","{""emoji"":{""char"":""🇮🇳""}}"
"Indonesia","{""emoji"":{""char"":""🇮🇩""}}"
"Iran","{""emoji"":{""char"":""🇮🇷""}}"
"Iraq","{""emoji"":{""char"":""🇮🇶""}}"
"Ireland","{""emoji"":{""char"":""🇮🇪""}}"
"Italy","{""emoji"":{""char"":""🇮🇹""}}"
"Latvia","{""emoji"":{""char"":""🇱🇻""}}"
"Luxembourg","{""emoji"":{""char"":""🇱🇺""}}"
"Madagascar","{""emoji"":{""char"":""🇲🇬""}}"
"Monaco","{""emoji"":{""char"":""🇲🇨""}}"
"Morocco","{""emoji"":{""char"":""🇲🇦""}}"
"Moldova","{""emoji"":{""char"":""🇲🇩""}}"
"Cambodia","{""emoji"":{""char"":""🇰🇭""}}"
"Japan","{""emoji"":{""char"":""🇯🇵""}}"
"Kazakhstan","{""emoji"":{""char"":""🇰🇿""}}"
"Kenya","{""emoji"":{""char"":""🇰🇪""}}"
"Kiribati","{""emoji"":{""char"":""🇰🇮""}}"
