"'Asir, Saudi Arabia","55","{""emoji"":{""char"":""🇸🇦""}}"
"AR Area","70",""
"A`zaz, Aleppo Governorate, Syria","15","{""emoji"":{""char"":""🇸🇾""}}"
"Aabybro, North Denmark Region, Denmark","25","{""emoji"":{""char"":""🇩🇰""}}"
"Aachen, North Rhine-Westphalia, Germany","40","{""emoji"":{""char"":""🇩🇪""}}"
"Aalborg Municipality, North Denmark Region, Denmark","13","{""emoji"":{""char"":""🇩🇰""}}"
"Aalborg, North Denmark Region, Denmark","25","{""emoji"":{""char"":""🇩🇰""}}"
"Aalestrup, North Denmark Region, Denmark","25","{""emoji"":{""char"":""🇩🇰""}}"
"Aarau, Aargau, Switzerland","26","{""emoji"":{""char"":""🇨🇭""}}"
"Aarburg, Aargau, Switzerland","26","{""emoji"":{""char"":""🇨🇭""}}"
"Aargau, Switzerland","55","{""emoji"":{""char"":""🇨🇭""}}"
"Aarhus Municipality, Central Denmark Region, Denmark","13","{""emoji"":{""char"":""🇩🇰""}}"
"Aarhus, Central Denmark Region, Denmark","40","{""emoji"":{""char"":""🇩🇰""}}"
"Aars, North Denmark Region, Denmark","25","{""emoji"":{""char"":""🇩🇰""}}"
"Aathrai Tribeni Rural Municipality, Province No. 1, Nepal","8","{""emoji"":{""char"":""🇳🇵""}}"
"Aba Ar Rawath, Northern Frontier, Saudi Arabia","26","{""emoji"":{""char"":""🇸🇦""}}"
"Abaji, Federal Capital Territory, Nigeria","30","{""emoji"":{""char"":""🇳🇬""}}"
"Abakan, Khakassia, Russia","28","{""emoji"":{""char"":""🇷🇺""}}"
"Abakanovo, Vologda, Russia","28","{""emoji"":{""char"":""🇷🇺""}}"
"Abakanovskoye, Vologda, Russia","28","{""emoji"":{""char"":""🇷🇺""}}"
"Abano Terme, Veneto, Italy","28","{""emoji"":{""char"":""🇮🇹""}}"
"Abay Region, Kazakhstan","55","{""emoji"":{""char"":""🇰🇿""}}"
"Abay awdanı, Shymkent, Kazakhstan","15","{""emoji"":{""char"":""🇰🇿""}}"
"Abaza, Khakassia, Russia","28","{""emoji"":{""char"":""🇷🇺""}}"
"Abbeville County, South Carolina, United States","23","{""emoji"":{""char"":""🇺🇸""}}"
"Abbeville, Alabama, United States","35","{""emoji"":{""char"":""🇺🇸""}}"
"Abbeville, Georgia, United States","35","{""emoji"":{""char"":""🇺🇸""}}"
"Abbeville, Hauts-de-France, France","30","{""emoji"":{""char"":""🇫🇷""}}"
"Abbeville, Louisiana, United States","35","{""emoji"":{""char"":""🇺🇸""}}"
"Abbeville, Mississippi, United States","35","{""emoji"":{""char"":""🇺🇸""}}"
"Abbeville, South Carolina, United States","35","{""emoji"":{""char"":""🇺🇸""}}"
"Abbeville, Vaudeloges, Normandy, France","30","{""emoji"":{""char"":""🇫🇷""}}"
"Abbeville-Saint-Lucien, Hauts-de-France, France","30","{""emoji"":{""char"":""🇫🇷""}}"
"Abbots Morton, England, United Kingdom","30","{""emoji"":{""char"":""🇬🇧""}}"
"Abbots Worthy, England, United Kingdom","30","{""emoji"":{""char"":""🇬🇧""}}"
"Abbotsford, British Columbia, Canada","28","{""emoji"":{""char"":""🇨🇦""}}"
"Abbotts Creek, North Carolina, United States","35","{""emoji"":{""char"":""🇺🇸""}}"
"Abbéville-la-Rivière, Île-de-France, France","30","{""emoji"":{""char"":""🇫🇷""}}"
"Abbévillers, Bourgogne-Franche-Comté, France","30","{""emoji"":{""char"":""🇫🇷""}}"
"Abdulino, Orenburg, Russia","28","{""emoji"":{""char"":""🇷🇺""}}"
"Abdulla_Al-Salem, Al Asimah, Kuwait","15","{""emoji"":{""char"":""🇰🇼""}}"
"Abdullah Al-Salem, Al Asimah, Kuwait","15","{""emoji"":{""char"":""🇰🇼""}}"
"Abengourou, Comoé, Côte d'Ivoire","15","{""emoji"":{""char"":""🇨🇮""}}"
